Date,Time,Open,High,Low,Close,Volume
2022.01.03,00:00,1800.0,1807.66,1788.18,1798.15,69990
2022.01.03,04:00,1798.85,1809.89,1788.58,1798.53,70088
2022.01.03,08:00,1798.36,1801.14,1780.77,1791.6,66987
2022.01.03,12:00,1791.44,1807.75,1786.08,1806.37,66555
2022.01.03,16:00,1806.52,1814.0,1794.6,1811.89,68383
2022.01.03,20:00,1812.24,1815.77,1798.88,1813.64,65697
2022.01.04,00:00,1813.97,1832.29,1810.24,1825.93,65224
2022.01.04,04:00,1826.2,1837.47,1816.67,1827.6,63625
2022.01.04,08:00,1827.67,1833.33,1794.62,1814.64,64893
2022.01.04,12:00,1814.21,1828.64,1807.46,1825.64,64111
2022.01.04,16:00,1825.11,1829.49,1800.75,1807.61,65345
2022.01.04,20:00,1808.21,1836.1,1801.42,1818.15,65843
2022.01.05,00:00,1817.6,1845.09,1816.76,1837.27,64333
2022.01.05,04:00,1838.15,1842.76,1820.35,1823.43,63426
2022.01.05,08:00,1823.35,1824.8,1799.7,1800.11,60841
2022.01.05,12:00,1800.87,1805.07,1788.57,1789.97,63643
2022.01.05,16:00,1790.21,1799.61,1783.69,1791.19,65918
2022.01.05,20:00,1791.28,1793.1,1767.57,1775.52,68892
2022.01.06,00:00,1776.33,1789.29,1768.77,1787.55,66875
2022.01.06,04:00,1788.27,1799.51,1783.13,1792.22,70391
2022.01.06,08:00,1792.43,1799.38,1785.02,1796.68,65772
2022.01.06,12:00,1796.88,1823.85,1795.52,1819.16,63163
2022.01.06,16:00,1818.33,1821.2,1795.53,1798.04,67260
2022.01.06,20:00,1799.35,1813.94,1796.47,1810.32,67050
2022.01.07,00:00,1810.46,1835.81,1807.75,1827.13,62466
2022.01.07,04:00,1827.04,1829.86,1816.07,1826.84,64558
2022.01.07,08:00,1826.26,1838.29,1818.83,1836.36,67842
2022.01.07,12:00,1836.04,1853.87,1833.27,1845.37,67580
2022.01.07,16:00,1845.23,1855.72,1831.51,1849.09,69055
2022.01.07,20:00,1849.26,1858.84,1837.3,1853.31,65617
2022.01.10,00:00,1854.02,1867.86,1849.19,1857.44,70094
2022.01.10,04:00,1857.89,1879.73,1856.0,1870.97,65706
2022.01.10,08:00,1870.44,1883.67,1866.71,1872.52,65773
2022.01.10,12:00,1871.95,1886.88,1867.07,1884.61,63530
2022.01.10,16:00,1884.4,1892.73,1874.1,1878.59,65418
2022.01.10,20:00,1878.46,1892.92,1872.82,1883.36,67227
