Date,Time,Open,High,Low,Close,Volume
2022.01.03,00:00,1800.0,1803.77,1797.57,1800.58,3844
2022.01.03,00:15,1800.98,1806.71,1797.98,1804.75,4007
2022.01.03,00:30,1804.49,1807.66,1803.25,1804.71,4406
2022.01.03,00:45,1803.6,1804.87,1800.69,1801.59,3712
2022.01.03,01:00,1800.64,1802.39,1797.66,1798.92,3994
2022.01.03,01:15,1798.27,1799.72,1793.75,1796.08,4310
2022.01.03,01:30,1795.62,1797.6,1790.87,1793.03,5412
2022.01.03,01:45,1792.93,1794.52,1790.12,1793.23,4785
2022.01.03,02:00,1793.16,1796.94,1788.18,1794.53,4722
2022.01.03,02:15,1794.36,1802.06,1792.85,1800.39,4466
2022.01.03,02:30,1800.38,1803.27,1797.72,1800.39,4408
2022.01.03,02:45,1799.84,1804.2,1797.91,1800.53,4738
2022.01.03,03:00,1800.63,1802.5,1797.99,1799.66,4571
2022.01.03,03:15,1799.01,1800.56,1796.41,1797.22,4383
2022.01.03,03:30,1797.7,1801.22,1796.23,1796.41,4775
2022.01.03,03:45,1795.85,1801.35,1794.09,1798.15,3457
2022.01.03,04:00,1798.85,1800.49,1795.59,1799.67,4193
2022.01.03,04:15,1799.96,1807.62,1798.2,1805.23,3835
2022.01.03,04:30,1806.61,1809.89,1805.01,1807.67,4142
2022.01.03,04:45,1807.81,1809.37,1803.24,1803.8,4786
2022.01.03,05:00,1803.76,1805.56,1800.75,1802.7,5196
2022.01.03,05:15,1802.92,1806.25,1798.59,1800.54,3528
2022.01.03,05:30,1801.01,1805.31,1795.54,1796.16,4577
2022.01.03,05:45,1795.91,1798.7,1792.29,1796.17,4511
2022.01.03,06:00,1796.16,1797.14,1793.74,1794.76,4091
2022.01.03,06:15,1794.3,1796.43,1790.21,1791.44,4118
2022.01.03,06:30,1792.64,1794.78,1788.58,1791.35,3656
2022.01.03,06:45,1791.32,1794.35,1789.93,1791.33,5278
2022.01.03,07:00,1792.11,1796.2,1790.02,1793.04,4117
2022.01.03,07:15,1794.05,1795.07,1788.75,1794.63,4819
2022.01.03,07:30,1794.44,1802.22,1794.07,1797.68,4746
2022.01.03,07:45,1798.73,1803.06,1797.23,1798.53,4495
2022.01.03,08:00,1798.36,1798.69,1790.57,1793.7,4265
2022.01.03,08:15,1793.8,1796.02,1791.51,1795.62,3839
2022.01.03,08:30,1795.95,1800.57,1791.81,1799.08,4194
2022.01.03,08:45,1799.55,1801.14,1795.01,1796.75,4756
2022.01.03,09:00,1796.36,1798.26,1790.37,1793.14,4580
2022.01.03,09:15,1792.6,1795.33,1785.63,1786.8,4699
2022.01.03,09:30,1786.86,1790.57,1783.53,1788.26,3665
2022.01.03,09:45,1787.9,1793.52,1786.52,1791.79,4129
2022.01.03,10:00,1791.81,1793.94,1789.72,1792.05,4057
2022.01.03,10:15,1791.87,1792.83,1786.74,1787.08,3475
2022.01.03,10:30,1786.85,1789.05,1783.02,1784.24,4807
2022.01.03,10:45,1783.4,1785.79,1781.13,1784.76,4766
2022.01.03,11:00,1784.03,1786.68,1781.05,1783.43,3644
2022.01.03,11:15,1782.67,1789.55,1780.77,1787.68,3353
2022.01.03,11:30,1788.01,1798.0,1786.89,1796.75,4300
2022.01.03,11:45,1797.45,1798.99,1791.04,1791.6,4458
2022.01.03,12:00,1791.44,1797.4,1790.38,1796.3,4472
2022.01.03,12:15,1795.68,1797.84,1792.05,1795.51,4190
2022.01.03,12:30,1795.33,1797.91,1792.3,1794.09,4517
2022.01.03,12:45,1793.49,1794.52,1786.29,1792.63,4707
2022.01.03,13:00,1792.73,1792.99,1786.08,1789.4,4545
2022.01.03,13:15,1789.91,1797.12,1789.11,1795.4,3193
2022.01.03,13:30,1795.34,1797.55,1791.47,1795.07,4136
2022.01.03,13:45,1795.12,1796.82,1792.48,1792.72,3913
2022.01.03,14:00,1793.21,1801.21,1792.7,1799.5,4202
2022.01.03,14:15,1799.91,1805.11,1795.71,1801.61,4417
2022.01.03,14:30,1801.17,1802.11,1795.15,1797.51,3932
2022.01.03,14:45,1797.16,1799.36,1794.43,1795.27,3406
2022.01.03,15:00,1794.19,1798.91,1792.39,1797.58,3617
2022.01.03,15:15,1797.48,1801.43,1795.3,1800.38,4173
2022.01.03,15:30,1800.88,1807.75,1800.03,1805.93,4331
2022.01.03,15:45,1806.44,1807.54,1802.22,1806.37,4804
2022.01.03,16:00,1806.52,1809.28,1805.06,1807.82,3741
2022.01.03,16:15,1807.34,1808.64,1800.63,1802.01,4658
2022.01.03,16:30,1800.98,1806.36,1799.72,1805.29,4734
2022.01.03,16:45,1806.04,1810.08,1804.74,1805.79,4938
2022.01.03,17:00,1806.5,1807.13,1802.06,1803.49,4288
2022.01.03,17:15,1803.11,1806.03,1800.57,1801.34,3741
2022.01.03,17:30,1801.59,1804.97,1797.75,1797.93,4127
2022.01.03,17:45,1797.47,1802.67,1797.36,1798.76,4362
2022.01.03,18:00,1798.91,1799.8,1794.6,1795.93,4035
2022.01.03,18:15,1796.44,1806.89,1796.01,1804.21,4177
2022.01.03,18:30,1803.54,1805.18,1800.05,1803.94,4586
2022.01.03,18:45,1803.89,1806.66,1801.22,1802.51,4201
2022.01.03,19:00,1802.13,1804.53,1799.08,1801.85,3735
2022.01.03,19:15,1801.49,1803.68,1797.81,1801.28,5158
2022.01.03,19:30,1801.11,1812.42,1800.39,1809.45,3533
2022.01.03,19:45,1810.08,1814.0,1807.11,1811.89,4369
2022.01.03,20:00,1812.24,1815.77,1810.09,1813.81,4848
2022.01.03,20:15,1813.88,1814.14,1809.06,1811.33,4397
2022.01.03,20:30,1811.05,1812.55,1807.35,1808.68,3954
2022.01.03,20:45,1809.05,1811.52,1802.96,1805.59,5205
2022.01.03,21:00,1804.86,1807.14,1802.28,1805.02,3596
2022.01.03,21:15,1804.41,1806.45,1800.22,1800.7,3741
2022.01.03,21:30,1800.47,1805.88,1798.88,1803.9,4584
2022.01.03,21:45,1804.15,1809.04,1802.71,1806.08,4265
2022.01.03,22:00,1806.27,1806.69,1802.25,1803.01,3637
2022.01.03,22:15,1801.89,1809.04,1800.68,1808.27,4053
2022.01.03,22:30,1807.79,1809.5,1803.63,1806.71,3539
2022.01.03,22:45,1806.1,1808.22,1802.0,1805.15,3860
2022.01.03,23:00,1804.77,1806.58,1801.82,1804.63,4173
2022.01.03,23:15,1804.39,1806.84,1800.44,1805.38,3259
2022.01.03,23:30,1805.09,1807.89,1803.27,1805.94,4522
2022.01.03,23:45,1806.13,1814.65,1805.79,1813.64,4064
2022.01.04,00:00,1813.97,1818.59,1810.24,1815.72,3202
2022.01.04,00:15,1816.34,1821.18,1815.37,1816.48,4043
2022.01.04,00:30,1815.51,1818.51,1813.28,1816.57,4829
2022.01.04,00:45,1816.33,1817.75,1810.4,1811.46,4573
2022.01.04,01:00,1811.24,1819.89,1811.01,1816.76,4215
2022.01.04,01:15,1816.85,1824.84,1816.3,1822.1,3829
2022.01.04,01:30,1822.13,1827.7,1820.24,1827.11,5029
2022.01.04,01:45,1826.87,1830.5,1823.86,1827.1,3993
2022.01.04,02:00,1826.6,1829.76,1825.53,1828.78,3628
2022.01.04,02:15,1828.24,1832.29,1827.53,1828.25,3009
2022.01.04,02:30,1827.88,1830.48,1824.39,1827.32,3983
2022.01.04,02:45,1827.23,1829.1,1824.69,1825.93,4801
2022.01.04,03:00,1826.38,1831.47,1823.39,1828.87,3880
2022.01.04,03:15,1828.66,1831.33,1826.24,1826.82,3953
2022.01.04,03:30,1826.29,1827.76,1821.74,1824.87,3925
2022.01.04,03:45,1825.12,1827.43,1821.38,1825.93,4332
2022.01.04,04:00,1826.2,1827.75,1821.56,1825.01,3790
2022.01.04,04:15,1824.37,1825.33,1818.0,1821.5,4252
2022.01.04,04:30,1820.94,1822.4,1817.52,1818.72,3698
2022.01.04,04:45,1818.44,1830.51,1816.67,1830.47,3915
2022.01.04,05:00,1830.72,1832.31,1826.56,1828.92,3948
2022.01.04,05:15,1828.58,1829.92,1821.77,1827.24,4364
2022.01.04,05:30,1826.92,1827.77,1821.03,1824.23,3656
2022.01.04,05:45,1823.92,1827.04,1822.49,1825.58,4011
2022.01.04,06:00,1824.8,1827.38,1822.6,1823.75,3758
2022.01.04,06:15,1823.87,1830.8,1821.38,1830.35,3310
2022.01.04,06:30,1830.47,1833.76,1826.5,1827.87,3872
2022.01.04,06:45,1827.54,1832.31,1825.26,1832.01,4321
2022.01.04,07:00,1832.79,1837.47,1829.64,1834.13,3858
2022.01.04,07:15,1833.24,1835.2,1825.72,1828.12,4035
2022.01.04,07:30,1829.12,1830.63,1825.34,1829.16,4391
2022.01.04,07:45,1828.92,1830.05,1822.23,1827.6,4446
2022.01.04,08:00,1827.67,1830.2,1824.05,1827.88,3850
2022.01.04,08:15,1827.12,1830.26,1823.1,1829.84,4017
2022.01.04,08:30,1829.75,1831.91,1826.61,1829.44,3850
2022.01.04,08:45,1829.37,1833.33,1827.07,1829.42,3630
2022.01.04,09:00,1829.54,1830.71,1823.45,1824.8,3899
2022.01.04,09:15,1825.74,1828.07,1817.58,1817.86,3637
2022.01.04,09:30,1817.98,1819.23,1812.95,1814.52,4373
2022.01.04,09:45,1814.34,1817.14,1812.42,1815.43,4065
2022.01.04,10:00,1815.01,1816.74,1804.38,1804.54,4172
2022.01.04,10:15,1804.7,1806.62,1799.35,1801.27,4263
2022.01.04,10:30,1801.43,1802.66,1794.62,1799.31,3352
2022.01.04,10:45,1799.84,1803.56,1797.91,1801.65,4235
2022.01.04,11:00,1800.92,1804.22,1797.36,1802.66,3454
2022.01.04,11:15,1803.09,1807.72,1801.23,1803.82,4507
2022.01.04,11:30,1804.33,1810.11,1801.05,1807.07,4922
2022.01.04,11:45,1806.74,1815.53,1805.35,1814.64,4667
2022.01.04,12:00,1814.21,1815.82,1811.16,1814.28,3427
2022.01.04,12:15,1814.08,1815.53,1810.17,1812.39,3776
2022.01.04,12:30,1812.73,1816.06,1809.13,1810.45,4648
2022.01.04,12:45,1810.93,1815.27,1809.08,1813.24,4450
2022.01.04,13:00,1812.67,1812.9,1808.21,1812.35,3465
2022.01.04,13:15,1812.15,1813.54,1808.53,1808.88,3637
2022.01.04,13:30,1808.98,1818.23,1807.46,1816.83,4218
2022.01.04,13:45,1817.02,1819.07,1812.15,1817.07,4542
2022.01.04,14:00,1817.27,1820.74,1815.36,1819.04,4116
2022.01.04,14:15,1819.86,1823.56,1818.51,1821.33,3777
2022.01.04,14:30,1820.97,1825.88,1819.25,1824.72,3138
2022.01.04,14:45,1825.03,1827.44,1821.55,1826.25,4011
2022.01.04,15:00,1825.62,1826.09,1819.8,1825.5,4269
